,Customer ID,TotalOrders,TotalSpent,FirstPurchase,LastPurchase,Country
0,12346,11,372.86,2009-12-14 08:34:00,2010-06-28 13:53:00,United Kingdom
1,12347,8,4921.53,2010-10-31 14:20:00,2011-12-07 15:52:00,Iceland
2,12348,5,1658.3999999999999,2010-09-27 14:59:00,2011-09-25 13:13:00,Finland
3,12349,3,3678.6899999999996,2010-04-29 13:20:00,2011-11-21 09:51:00,Italy
4,12350,1,294.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway
5,12351,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,Unspecified
6,12352,9,1729.54,2010-11-12 10:20:00,2011-11-03 14:37:00,Norway
7,12353,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,Bahrain
8,12354,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain
9,12355,2,947.6099999999999,2010-05-21 11:59:00,2011-05-09 13:49:00,Bahrain
10,12356,6,5611.7300000000005,2010-10-11 09:42:00,2011-11-17 08:40:00,Portugal
11,12357,2,17437.66,2010-11-16 10:05:00,2011-11-06 16:07:00,Switzerland
12,12358,5,3447.07,2009-12-08 07:59:00,2011-12-08 10:26:00,Austria
13,12359,10,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,Cyprus
14,12360,6,3612.89,2010-02-22 09:32:00,2011-10-18 15:22:00,Austria
15,12361,4,451.25,2010-01-26 14:37:00,2011-02-25 13:51:00,Belgium
16,12362,10,4737.2300000000005,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium
17,12363,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified
18,12364,4,1208.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium
19,12365,1,320.69,2011-02-21 13:51:00,2011-02-21 13:51:00,Cyprus
20,12366,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,Cyprus
21,12367,1,150.9,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark
22,12368,1,917.7,2010-03-21 15:56:00,2010-03-21 15:56:00,Cyprus
23,12369,3,1511.1499999999999,2010-03-08 08:09:00,2010-10-22 13:13:00,Austria
24,12370,7,3956.5599999999995,2010-02-09 09:41:00,2011-10-19 14:51:00,Austria
25,12371,4,3347.38,2010-03-04 18:23:00,2011-10-11 10:43:00,Switzerland
26,12372,3,1196.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark
27,12373,3,927.65,2010-02-04 12:08:00,2011-02-01 13:10:00,Austria
28,12374,3,2669.22,2010-04-30 14:01:00,2011-11-14 15:37:00,Austria
29,12375,2,377.5,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland
30,12376,2,383.15000000000003,2010-10-18 08:42:00,2010-11-15 12:15:00,Switzerland
31,12377,4,3266.32,2010-04-29 15:34:00,2011-01-28 15:45:00,Switzerland
32,12378,2,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,Switzerland
33,12379,4,1470.22,2010-06-23 12:49:00,2011-09-19 10:09:00,Belgium
34,12380,8,7210.65,2010-02-15 12:05:00,2011-11-18 11:27:00,Belgium
35,12381,3,1474.81,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway
36,12383,5,1628.56,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium
37,12384,2,425.27,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland
38,12385,1,1668.4,2010-11-25 15:14:00,2010-11-25 15:14:00,Belgium
39,12386,2,401.90000000000003,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia
40,12387,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,Australia
