,Invoice,OrderValue,OrderQuantity,UniqueProducts,Customer ID,Country,OrderDate
0,489434,505.3,166,8,13085,United Kingdom,2009-12-01 07:45:00
1,489435,145.8,60,4,13085,United Kingdom,2009-12-01 07:46:00
2,489436,630.33,193,19,13078,United Kingdom,2009-12-01 09:06:00
3,489437,310.75,145,23,15362,United Kingdom,2009-12-01 09:08:00
4,489438,2286.24,826,17,18102,United Kingdom,2009-12-01 09:24:00
5,489439,372.3,216,18,12682,France,2009-12-01 09:28:00
6,489440,50.4,16,2,18087,United Kingdom,2009-12-01 09:43:00
7,489441,344.34000000000003,102,4,18087,United Kingdom,2009-12-01 09:44:00
8,489442,382.37,275,23,13635,United Kingdom,2009-12-01 09:46:00
9,489443,285.06,120,7,14110,United Kingdom,2009-12-01 09:50:00
10,489445,308.44,280,19,17519,United Kingdom,2009-12-01 09:57:00
11,489446,996.1,382,27,13758,United Kingdom,2009-12-01 10:06:00
12,489448,570.24,192,4,15413,United Kingdom,2009-12-01 10:18:00
13,489450,196.1,100,9,16321,Australia,2009-12-01 10:36:00
14,489460,485.78999999999996,977,15,16167,United Kingdom,2009-12-01 10:46:00
15,489461,589.3299999999999,379,26,17865,United Kingdom,2009-12-01 10:49:00
16,489462,148.3,38,13,17592,United Kingdom,2009-12-01 10:49:00
17,489465,1197.8,408,19,13767,United Kingdom,2009-12-01 10:52:00
18,489488,251.1,80,29,17238,United Kingdom,2009-12-01 10:59:00
19,489505,255.5,64,10,15712,United Kingdom,2009-12-01 11:17:00
20,489514,823.02,326,32,15311,United Kingdom,2009-12-01 11:21:00
21,489517,250.06,114,28,16329,United Kingdom,2009-12-01 11:34:00
22,489519,696.73,247,38,17700,United Kingdom,2009-12-01 11:37:00
23,489520,733.63,293,30,14911,EIRE,2009-12-01 11:41:00
24,489522,700.31,409,104,15998,United Kingdom,2009-12-01 11:45:00
25,489523,1160.0,800,1,12931,United Kingdom,2009-12-01 11:46:00
26,489526,821.92,478,43,12533,Germany,2009-12-01 11:50:00
27,489529,212.63,187,45,17984,United Kingdom,2009-12-01 11:51:00
28,489531,145.0,54,14,14871,United Kingdom,2009-12-01 11:57:00
29,489532,304.53,353,20,13394,United Kingdom,2009-12-01 11:58:00
